"A lot of content was deleted by the one who uploaded it. If you have backups for any removed items, please submit them here.",,
Response,Timestamp,Write below any feedback you have.
"Fixed.
https://mega.nz/#F!YRIllbBD!0kpEHwdzv78_j3k1deBFbw


",03/06/2017 15:50:36,"The link for Black Butler in the CoR is dead.
https://mega.nz/#F!W0sD1IoJ!P__uXrRZwnKcD2gnDtjL8Q"
"Good stuff. Only issue I spotted is this sentence: ""いつから君があった、ここ？"" Should be いた.
I fixed that and linked the new version on the guide resources page.



",10/06/2017 16:31:08,"Sakubi HTML: https://a.safe.moe/8hnhC.html

Don't know where it would go, but there it is."
Updated.,11/06/2017 15:59:37,"I fixed that and a couple other early errors (like 問いた and missing letters in the english) and changed some wording.

https://a.safe.moe/4XHzQ.html"
"Updated.


",14/06/2017 14:26:47,I fixed more formatting mistakes and threw it up on neocities so I don't have to keep reposting it: https://sakubi.neocities.org/
"Awesome. Right now I couldn't do a good job maintaining it on top of my other projects, though the tabbed data would be very useful if I wanted to. Fortunately it's already in good shape.",20/06/2017 17:54:48,"The website associated with the ""manga"" link on the djt
website has been brought up to date. 
Why this information posted is because the site
itself has been archived along with a tabbed spaced 
version of the manga data and volumes missing from 
the CoR, as per the previous data the site maintainer
provided. 

At the bottom is a mega link. This will remain online 
with the intention of someone with knowledge of webdev 
and programming to take this data and improve the site.

Relevant information for any added series can be 
posted to djt feedback, for the CoR, or if anyone
else decides to host/overhaul the current manga site.

The sorts of requested features are simply above 
my level of knowledge or desire to dedicate time
to learn. This is why someone who knows these things
are much better suited to handle this sort of thing.
Hopefully the data I have provided can be easily
enough slotted into a database and handled
programmatically, as I have been told is the 
preferred method for these sorts of things.


The moemanga.neocities website will remain, as I intend
to over time continue to add the not yet added series
found on Sheet12 of the Google Sheet linked at 
the bottom. However, as mentioned above, the only
further time spent on the site will be when the previously
mentioned manga series are added. 

https://mega.nz/#F!VYRy2CoZ!amGOWbl4tSGMwiA2Prv1Hw
https://docs.google.com/spreadsheets/d/1jcn7Z4tbdRblEGnq6jzfW_sc-cOekTSs_N8z7mqb8Uc/edit?usp=sharing

Missing volumes, pastebin form:
https://pastebin.com/1AUDfZWb"
了解です。,21/06/2017 04:14:01,"Addendum from comment below: it was reposted on both /int/ and /jp/ djt
threads. A couple of times over the past few weeks, different anons have
requested it be put on github/bitbucket. With everything in mega somebody
may feel the urge to do just that.
 
If there is any such response before both threads die or at a later point, I will let them know to
let the djt maintainer know.

Please don't feel a responsibility to look after it. It isn't going anywhere,
it just isn't going to be updated in response to further feedback. 
Maintaining the DJT site is more than enough for one anon to juggle."
"Fixed.
https://mega.nz/#!4VIEzCQA!IQxvCaxGgGHFJ0XsoEt73wOQFheY3rziyWHIBVKHvGI

",26/06/2017 14:39:54,"The link for ""A History of the Japanese Language"" in the CoR is dead.
https://mega.nz/#!iFAnxZZJ!Yy1dI10MrmxwNflTfA4wMoZTNFJJvwJr4RxABOII2yw"
Thanks.,06/07/2017 09:47:58,"Just a heads up, a couple of the manga series have had their newest published volumes added to their respective mega folders. All links are still the same; dropping it here because 4chan is frozen. 

NEW　GAME！ (volume 6 added)
https://mega.nz/#F!odAhXa7A!w0Y72Ld2MI5bMLIPFALvhw

スロウスタート (volume 4 added)
https://mega.nz/#F!MURiTTbA!uFdeq2kJVyqNke5xGD5EIw

To be released (and updated) soon:
箱入りドロップス volume 6 (approx. July 11th)
きんいろモザイク volume 8 (approx. July 27th)
三者三葉 volume 13 (approx. July 27th)

"
"Added.
https://mega.nz/#F!UVoUiaQa!PQFxIw1Z87sXQFgtJiP_-A

",06/07/2017 13:48:36,Anyway you could get the raw volumes of 僕のヒーローアカデミア up?
"Added, thanks.",16/07/2017 10:56:40,"ウィーンで歌ってみて volume 2 from Rakuten.
Folder now has volumes 1 and 2.
https://mega.nz/#F!JSYgEaYA!PlRdTSK5aZ0-ZEE4sjBXzw

はやしたてまつり♪ volume 1 from Rakuten
https://mega.nz/#F!Aaw0jbQS!zgm1V1b-KFBgQ1cLuoMwLA"
"Added, thanks.",18/07/2017 10:45:45,"みゅ～こん! by 永山ゆうのん volume 1 from Rakuten.
https://mega.nz/#F!8ag0iDZI!U75EFEcvTer7zml6z0w7lQ

きらきら☆スタディー～絶対合格宣言～ by 華々つぼみ volume 1~2 from Rakuten
https://mega.nz/#F!MGw0GSzD!wcbxqAYOvDHSprwwOOUsaw"
"I was planning to make an archive site if they weren't restored, and have now done so.


",19/07/2017 11:36:30,"wayback machine archive didn't cache the large images on the manga page or the entry images on the grammar page
please rehost the sites properly"
"Nice. I'll change the link.


",19/07/2017 14:33:30,"https://shinmoemanga.neocities.org/

New moemanga. With actual filtering and search."
I already rehosted the original: djtarchive.neocities.org/manga,20/07/2017 07:52:45,"the newer manga page has less functionality and features than the original
please get rid of it, stop being lazy and actually rehost it from the archive that was posted in djt
"
"You can still use the other version here: djtarchive.neocities.org/manga

I believe the shinmoemanga developer is still working on it, so you could post bugs or feature requests in the thread. I'll mention the scaling issue there.",23/07/2017 20:12:06,"The table image and text scaling on the https://shinmoemanga.neocities.org/ website is out of whack on narrower resolutions and shrinks down to nothing on mobile. Can it be changed back to the previous version of the site, please? This different version is worse than the older one in every aspect. It was a useful resource and I don't know why the sudden take down and change, but whatever happened it may now not exist as it is.


Please revert back to the other one soon, or provide a link to a copy of the older version so someone else can put it online.


Thank you for your time. "
"Thanks, I love new ebooks. I put it in the CoR and will add it to the library in the next update.",05/08/2017 19:05:10,"紫色のクオリア AZW3 should be DRM free if I didn't fuck up.
https://my.mixtape.moe/gfeqjg.azw3

It would be cool if someone could upload other Ueo books."
,10/08/2017 18:08:08,Would be nice to have a speaking/listening section. Unless I'm retarded and that was already addressed.
,20/08/2017 23:44:33,"https://boards.fireden.net/a/thread/148290967/#148291719

Kanji grid (anon modified):
http://pastebin.com/xCG06x6c

An anon made the best version of anki grid a year ago (a very popular add-on) which made links go to jisho, changed the broken jlpt order of the original kanji grid add-on to education order (which jlpt levels are based on anyway). Here's what it looks like in action:
https://a.safe.moe/bQ3sH.png

I looked around and it seems its not on anki or the guide. This best version of anki grid is only known to those who were part of this thread almost a year ago. In order to preserve and/or let other anons use it, i suggest adding it into the guide somewhere. "
,21/08/2017 00:08:35,"Kanji grid (anon modified) - reuploaded
https://pastebin.com/5a6y8wuc "
,04/09/2017 13:20:03,Offline archive link not working.
,10/09/2017 07:20:08,"https://a.safe.moe/dujqj.gz

rename to djt.tar.gz"
,20/10/2017 12:22:26,HTML version of 秒速５センチメートル defaults to Chinese font for kanji resulting in incorrect kanji rendering. This may affect all HTML books; I haven't checked. I'm on Chrome OS. This appears to be an issue with CJK unified fonts (Chrome OS uses Noto CJK) defaulting to Chinese over Japanese when no language is specified.
Thanks. Nice that we have the first volume of 終末なにしてますか? now. I'll add these in the next update.,07/11/2017 04:39:12,"These are for the DJT library, retail (楽天) light novel epubs:

東京レイヴンズ1　SHAMAN＊CLAN
https://a.safe.moe/ISgvJ.zip

終末なにしてますか？　忙しいですか？　救ってもらっていいですか？
https://a.safe.moe/uqGhr.zip

これはゾンビですか？1　はい、魔装少女です
https://a.safe.moe/PTkBg.zip"
Thanks again. I might update the library early.,07/11/2017 21:08:18,"These are for the DJT library, retail (楽天) light novel epubs:

終末なにしてますか？　忙しいですか？　救ってもらっていいですか？#02
https://a.safe.moe/mbmwl.zip

エロマンガ先生 妹と開かずの間
https://a.safe.moe/OOKCZ.zip


"
"Wow, I was hoping someone would figure out how to rip one of these stores. Thank you. I'll decide how to process these for the site when I have time. Yahoo looks like an even bigger goldmine.",08/11/2017 15:01:06,"Hello,
Here are ~350 LNs from jumpbookstore.com for DJT, which is almost their entire collection. I'll rip the ones that have come out in the meantime after exams. If you want, I can rename them to their actual titles, I use the IDs because it keeps me from accidentally fetching them multiple times: https://drive.google.com/open?id=0BwoesLnJTwRDSzRuVk1Wc2J4bzg. If you need any manga or LNs from jumpbookstore, jumpplus, comicwalker or yahoo bookstore (largest collection), I've programmed rippers for all of those too. I'm in the middle of making one for ebookjapan, but that's more tedious and school kills.

Sincerely,
chocolatkey"
"Cool, I'll look into it.",08/11/2017 16:05:26,"Also, for reading epubs, maybe bibi (http://bibi.epub.link/) could be used to preserve the original format (especially vertical text). I've worked with it some, if you need any dev help I'd be glad to help
chocolatkey"
,24/11/2017 12:48:22,"Hi. First of all thank you for all your work. Truly you made best resource for study japanese.

DoJG Deck misprint. Intermediate 36. grammatical concept: どうも. Example (a). instead of 詞子 should be 調子・

Also, I accidentally found waniKani 10k deck and some other decks that compile material from waniKani. Strange enough this was found on WaniKani Community page.
I think you should check it out and add to cor.html. 
https://community.wanikani.com/t/some-supplemental-material/8121
Here is a links, just in case:

Complete 10k:
https://mega.nz/#!AdRjlZoL!FZoz3f3jq4oFUvwa59-AN3yKuQn-mFuIgNDftHtJ8n0

Conjugations WK:
https://mega.nz/#!wRIX3SLb!Hx63AFWT3hNt3Co-5RwQabm41MfYQNxJmiAbGFb7AaE
"
,21/12/2017 11:14:31,"hello, really love your anki deck for dictionnary of japanese grammar.

there's an issue with the core random though on ankidroid, the sentences get switched during card flip and a new one gets translated, which kinda make it confusing

thanks"
,31/12/2017 00:25:11,">What happened to DJT?
>DJT was banned from /a/ by the mods. There are now threads on /jp/ and /int/.
Hi, could you remove the /jp/ link from the above. We are no longer using the outdated guide and do not want to be associated with this site any longer as it creates problems when people refer to outdated elements in the threads. This site is going to be rehosted eventually and have /int/ removed from the equation, but until that point it would be better if your now defunct site/guide no longer sent people to the proper threads on /jp/. Thank you in advance."
,31/12/2017 03:57:31,to lurkers: the previous feedback message is someone trying to disassociate the /jp/ djt threads from the /int/ ones
,05/01/2018 14:29:27,"Not sure if this is the best place to reach the cor maintainer but here's some stuff i bought:

すらすら読める徒然草.epub
https://a.safe.moe/7dLwL.epub


冴えない彼女の育てかた12.epub
https://a.safe.moe/9gpqs.epub


冴えない彼女の育てかた13.epub
https://a.safe.moe/HyYJj.epub


枕草子　ビギナーズ・クラシックス　日本の古典.epub
https://a.safe.moe/N0IWM.epub


源氏物語　ビギナーズ・クラシックス　日本の古典.epub
https://a.safe.moe/3I2Q0.epub"
,10/01/2018 22:02:46,An ISO or torrent library for VNs would be an awesome addition.
,01/02/2018 08:19:11,I only wanted to say that i love your work !
,25/03/2018 17:47:30,"The Anki Startup Guide suggests an outdated font. TakaoPGothic is based on the old version of the IPA font (which was last updated almost 7 years ago). A new version of IPA Gothic now exists called IPAexGothic*.

Recommend changing
font-family: TakaoPGothic;
to
font-family: IPAexGothic;

and changing the link at ""For the font I use, see here."" to:
https://ipafont.ipa.go.jp/node17#jp

*There is a Takao version of IPAexGothic, but it appears to be unmaintained. Last Takao update is from March of 2015 (this update itself was the first one to the Takao series of fonts in 5 years), while IPAex's latest update is from October 2015 (update contained fixes for some characters)."
,02/04/2018 21:18:38,"Thank you so much for this resource, truly amazing."
,09/04/2018 21:49:13,"Japanese the Manga Way re-scan.

http://www.mediafire.com/file/snf0779s938990v/Japanese%20the%20Manga%20Way.pdf"
,17/04/2018 03:22:19,"This isn't feedback as such but the manga site linked on the djt page (mokuroku.neocities) has undergone a sizable change in format as well as a large increase in content over the past four to six weeks. 
A current shortlist of everything can be found in the table on the front page, if you would like to update the ""cornucopia of resources"" page. Once all of the newest content is fully integrated with the rest of the site I will provide a link to more detailed documentation with all of the content in plain text.

Thanks for keeping DJT alive."
,07/05/2018 15:52:36,"
I love you you are incredible, who would think that this would be the best place in the World!
I just want to ask you a huge favor could you upload the manga of ""Nogizaka Haruka no Himitsu"" please help me a lot ...
I love you, your site is the be"
,,
,,
,,
,,
,,
,15/05/2018 13:59:43,"Hello, I'm the guy that requested 君の隣で恋してる /djt/. Can I also request Flyable Hearts? It'd be much appreciated.
Thanks."
,19/05/2018 18:36:54,"Es verdad ¿podrias subir la -Novela de ""Nogizaka Asuka no Himitsu""? por favor  por favor <3"
,19/05/2018 18:43:19,"『乃木坂明日夏の秘密』Please... :,v <3"
,19/05/2018 18:44:56,http://dengekibunko.jp/newreleases/978-4-04-893798-6/
